话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
 , , , , , , , , , ,3438811390,汉唐长安中医驿站,m,2020/05/21,16:07:47,多找一些案例起诉川大嘴诱导民众耽误病情！
 , , , , , , , , , ,1566573520,竹猴子,f,2020/05/21,15:56:05,噗
 , , , , , , , , , ,2559826370,就是玖拾,f,2020/05/21,16:21:51,川：你耐药了，next
 , , , , , , , , , ,6793833938,懒懒地Trange,m,2020/05/21,15:58:17,马克吐温的著作
 , , , , , , , , , ,3912096789,似锦宵人,m,2020/05/21,15:56:28,确诊了不带口罩吗
 , , , , , , , , , ,1445403190,财富密钥,m,2020/05/21,15:55:07,转发微博
 , , , , , , , , , ,1789380814,无聊随便看看的吃瓜群众,f,2020/05/21,15:55:02,请给大统领一点面子嘛
 , , , , , , , , , ,1397168123,巧巧的秘密通道,f,2020/05/21,16:21:44,转发微博
https://m.weibo.cn/detail/4507054557663831,【外交部：#中国与世卫组织联合启动抗疫公益项目#】中国与世卫组织联合启动了“世界卫生组织新型冠状病毒肺炎团结应对基金·中国行动”大型公益筹款项目。中国外交部发言人赵立坚今天介绍：此项目旨在鼓励个人、企业和慈善机构为应对全球新冠肺炎疫情捐款，主要用于援助非洲等卫生系统脆弱的国家。中国一直积极参与全球抗疫行动，已向世卫组织提供了5000万美元的援助。我们愿继续同国际社会一道，加大对世卫组织支持，加强国际抗疫合作，直至取得疫情全球防控阻击战的最终胜利。（总台央视记者申杨）,2656274875,央视新闻,m,2020/05/21,16:16:46,44,53,273, , , , , , 
 , , , , , , , , , ,1339183834,狮妈V丫宝,f,2020/05/21,16:17:37,🇨🇳大国风范 🇨🇳
 , , , , , , , , , ,6722048196,自由自在的花路,f,2020/05/21,16:17:26,大国责任和担当
 , , , , , , , , , ,6575768826,渣男投稿bot,m,2020/05/21,16:18:15,中国🇨🇳 范
 , , , , , , , , , ,5882444106,落影焕颜,f,2020/05/21,16:19:23,大国风范，大国担当，中国🇨🇳 👍🏻
 , , , , , , , , , ,1866791162,云飞扬-YiBo,f,2020/05/21,16:18:16,大国担当👍🏻👍🏼
